OBJECTID,FORMATION_ID,FORMATION_NAME,NO_STORE_UNITS,NO_DAUGHTER_UNITS,ASSESS_UNIT_TYPE,PERIOD_MIN,PERIOD_MAX,AGE_MIN,AGE_MAX,STRAT_GROUP,STRAT_FORMATION,LITHOLOGY,GEOGRAPHIC_AREA,GEOLOGICAL_BASIN,ON_OFFSHOR,SEAL,REP_THICK,REP_POR,REMARKS,STORE_CAP_FORM,STORE_CAP_HC_FIELDS,STORE_CAP_AQUIF,COUNTRY,COUNTRYCODE,LAMBERT_E,LAMBERT_N,X_DD,Y_DD,X,Y,Projection_Info,Date_Entered
47,DE_F_20120927142849255,Middle Buntsandstein,1,7,Saline Aquifer with hydrocarbon fields,,,,,,,,North German Plain,North German Basin,Onshore,,0,0.000000000000000,Polygon not available,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 14:28:49
48,DE_F_20120927145437579,Upper Keuper and Lower Jurassic,1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,North German Plain,North German Basin,Onshore,,0,0.000000000000000,Polygon represents the investigated area,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 14:54:37
49,DE_F_20120927150524060,Middle Jurassic,1,5,Saline Aquifer with hydrocarbon fields,,,,,,,,North German Plain,North German Basin,Onshore,,0,0.000000000000000,Polygon represents the investigated area,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 15:05:24
50,DE_F_20120927152738323,Lower Cretaceous,1,6,Saline Aquifer with hydrocarbon fields,,,,,,,,North German Plain,North German Basin,Onshore,,0,0.000000000000000,Polygon represents the investigated area,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 15:27:38
51,DE_F_20120927154821265,Rotliegend,1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,Central Uplands,Thuringian Basin,Onshore,,0,0.000000000000000,Polygon not available,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 15:48:21
52,DE_F_20120927155607159,Zechstein,1,1,Saline Aquifer with hydrocarbon fields,,,,,,,,Central Uplands,Thuringian Basin,Onshore,,0,0.000000000000000,Polygon represents the investigated area,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 15:56:07
53,DE_F_20120927161301830,Rotliegend,1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,Central Uplands,Hessian Depression,Onshore,,0,0.000000000000000,Polygon not available,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 16:13:01
54,DE_F_20120927161715455,Rotliegend,1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,Central Uplands,Saar-Nahe Basin,Onshore,,0,0.000000000000000,Polygon not available,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 16:17:15
55,DE_F_20120927161928196,Upper Carboniferous and Rotliegend,1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,South German Scarplands,Upper Rhine Graben,Onshore,,0,0.000000000000000,Polygon not available,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 16:19:28
56,DE_F_20120927162140218,Buntsandstein,1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,South German Scarplands,Upper Rhine Graben,Onshore,,0,0.000000000000000,Polygon represents the investigated area,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 16:21:40
57,DE_F_20120927162324692,Muschelkalk,1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,South German Scarplands,Upper Rhine Graben,Onshore,,0,0.000000000000000,Polygon represents the investigated area,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 16:23:24
58,DE_F_20120927162516871,Upper Rotliegend,1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,South German Scarplands,Franconian Basin,Onshore,,0,0.000000000000000,Polygon not available,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 16:25:16
59,DE_F_20120927162758955,Lower and Middle Muschelkalk,1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,Alpine Foreland,South German Molasse Basin,Onshore,,0,0.000000000000000,Polygon represents the investigated area,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 16:27:58
60,DE_F_20120927163016250,Upper Muschelkalk,1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,Alpine Foreland,South German Molasse Basin,Onshore,,0,0.000000000000000,Polygon represents the investigated area,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 16:30:16
61,DE_F_20120927163832060,Middle Keuper,1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,Alpine Foreland,South German Molasse Basin,Onshore,,0,0.000000000000000,Polygon represents the investigated area,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 16:38:32
62,DE_F_20120927164110275,Upper Keuper,1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,Alpine Foreland,South German Molasse Basin,Onshore,,0,0.000000000000000,Polygon represents the investigated area,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 16:41:10
63,DE_F_20120927164212752,Middle Jurassic,1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,Alpine Foreland,South German Molasse Basin,Onshore,,0,0.000000000000000,Polygon represents the investigated area,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 16:42:12
64,DE_F_20120927164334013,Lower Cretaceous (Aptian/Albian),1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,Alpine Foreland,South German Molasse Basin,Onshore,,0,0.000000000000000,Polygon represents the investigated area,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 16:43:34
65,DE_F_20120927165837917,Upper Cretaceous (Cenomanian),1,0,Saline Aquifer without hydrocarbon fields,,,,,,,,Alpine Foreland,South German Molasse Basin,Onshore,,0,0.000000000000000,Polygon represents the investigated area,0.000000000000000,0.000000000000000,0.000000000000000,Germany,DE,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,27-009-12 16:58:37
66,DK_F_20120905093809222,Bunter Sandstone Formation,1,2,Saline Aquifer without hydrocarbon fields,Triassic,Triassic,Olenekian,Induan,Bacton,Bunter Sandsone Fm,Sandstone,Denmark,Danish Basin,Both,Lolland Group,180,20.000000000000000,"Ref. Sec. Rødby-1 borehole (11,4 long, 57,7 lat)",6210.400301600000600,0.000000000000000,6210.400301600000600,Denmark,DK,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,11.404999999999999,54.693611109999999,Decimal degrees,05-009-12 09:38:09
67,DK_F_20120905113052957,Gassum Formation,1,7,Saline Aquifer without hydrocarbon fields,Jurassic,Triassic,Sinemurian,Rhaetian,,Gassum Fm,Sandstone,Denmark,Danish Basin,Both,Fjerritslev Fm,130,20.000000000000000,"Formation center ~ Terne-1 borehole (11,5 long, 56,3 lat)",9072.138240000000200,0.000000000000000,9072.138240000000200,Denmark,DK,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,11.505663889999999,56.344072220000001,Decimal degrees,05-009-12 11:30:52
68,DK_F_20120905113540120,Haldager Sand Formation,1,0,Saline Aquifer without hydrocarbon fields,Jurassic,Jurassic,Oxfordian,Aalenian,,Haldager Sand Fm,Sandstone,Denmark,Danish Basin,Both,"Flyvbjerg Fm, Børglum Fm",1120,0.000000000000000,,3.358748250000000,0.000000000000000,3.358748250000000,Denmark,DK,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.050000000000001,57.166666999999997,Decimal degrees,05-009-12 11:35:40
69,DK_F_20121002015118518,Skagerrak Formation,1,1,Saline Aquifer without hydrocarbon fields,Triassic,Triassic,Rhaetian,Ladinian,,Skagerrak Fm,Sandstone,Danish Basin,Danish Basin,Both,Oddesund Fm,350,0.000000000000000,"Reference sction lower part borehole D-1x, upper section borehole F-1x",36636.565247999999000,0.000000000000000,36636.565247999999000,Denmark,DK,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8.311394000000000,57.438222000000003,Decimal degrees,02-010-12 01:51:18
70,ES_F_20121021201148283,Bunter Sandstone (Cantabrian Chain and Duero Basin),9,0,Saline Aquifer without hydrocarbon fields,Triassic,Permian,Triassic,,,,Sandstone,Duero Basin,Duero Basin,Onshore,,0,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,Spain,ES,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,395749.295999999970000,4662840.105000000400000,ED_1950_UTM_Zone_30N,21-010-12 20:11:48
71,ES_F_20121022131617352,Early Jurassic,4,0,Saline Aquifer without hydrocarbon fields,,,Early Jurassic,,,,Carbonate,Duero Basin,Duero Basin,Onshore,,0,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,Spain,ES,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,438428.670999999970000,4759153.847000000100000,ED_1950_UTM_Zone_30N,22-010-12 13:16:17
